LAC,CI,LAC-CI,latitude,longtitude
10003,12311,10003-12311,23.20018,113.24794
10003,12591,10003-12591,23.22258,113.24052
10003,17814,10003-17814,23.21531,113.2364
10003,17821,10003-17821,23.222382,113.240738
10003,17822,10003-17822,23.222382,113.240738
10003,17823,10003-17823,23.222382,113.240738
10003,17824,10003-17824,23.222382,113.240738
10003,17825,10003-17825,23.222382,113.240738
10003,17826,10003-17826,23.222382,113.240738
10003,17841,10003-17841,23.2075,113.23695
10003,17847,10003-17847,23.21107,113.24008
10003,17848,10003-17848,23.21107,113.24008
10003,17849,10003-17849,23.21107,113.24008
10003,17851,10003-17851,23.21107,113.24008
10003,17852,10003-17852,23.21107,113.24008
10003,17853,10003-17853,23.21107,113.24008
10003,17855,10003-17855,23.21508,113.23643
10003,17856,10003-17856,23.21508,113.23643
10003,17857,10003-17857,23.21508,113.23643
10003,17858,10003-17858,23.21508,113.23643
10003,17859,10003-17859,23.21508,113.23643
10003,17867,10003-17867,23.20465,113.24323
10003,17868,10003-17868,23.20465,113.24323
10003,17871,10003-17871,23.20465,113.24323
10003,17872,10003-17872,23.20465,113.24323
10003,17873,10003-17873,23.20465,113.24323
10003,19807,10003-19807,23.19983,113.24485
10003,19808,10003-19808,23.19983,113.24485
10003,20627,10003-20627,23.2075,113.23695
10003,21951,10003-21951,23.23678,113.24142
10003,21952,10003-21952,23.23678,113.24142
10003,25341,10003-25341,23.19983,113.24485
10003,25342,10003-25342,23.19983,113.24485
10003,25343,10003-25343,23.19983,113.24485
10003,27921,10003-27921,23.20465,113.24323
10003,27991,10003-27991,23.21107,113.24008
10003,28207,10003-28207,23.20733,113.23696
10003,29267,10003-29267,23.20308,113.24858
10003,29268,10003-29268,23.20308,113.24858
10003,29269,10003-29269,23.20308,113.24858
10003,29271,10003-29271,23.20308,113.24858
10003,29272,10003-29272,23.20308,113.24858
10003,29273,10003-29273,23.20308,113.24858
10003,30694,10003-30694,23.22708,113.24684
10003,30695,10003-30695,23.22708,113.24684
10003,30696,10003-30696,23.22708,113.24684
10003,30974,10003-30974,23.20139,113.24992
10003,31917,10003-31917,23.20891,113.23747
10003,31921,10003-31921,23.20891,113.23747
10003,32461,10003-32461,23.20313,113.25012
10003,36241,10003-36241,23.19727,113.24397
10003,39021,10003-39021,23.20924,113.23518
10003,39022,10003-39022,23.20924,113.23518
10003,39023,10003-39023,23.20924,113.23518
10003,39024,10003-39024,23.20924,113.23518
10003,39025,10003-39025,23.20924,113.23518
10003,39026,10003-39026,23.20924,113.23518
10003,42058,10003-42058,23.22127,113.24451
10003,42059,10003-42059,23.22127,113.24451
10003,44397,10003-44397,23.22891,113.22914
10003,44398,10003-44398,23.22891,113.22914
10003,44399,10003-44399,23.22891,113.22914
10003,45307,10003-45307,23.20782,113.24146
10003,45308,10003-45308,23.20782,113.24146
10003,45309,10003-45309,23.20782,113.24146
10003,49121,10003-49121,23.217,113.24182
10003,49122,10003-49122,23.217,113.24182
10003,49123,10003-49123,23.217,113.24182
10003,50261,10003-50261,23.21332,113.23584
10003,50262,10003-50262,23.21332,113.23584
10003,50263,10003-50263,23.21332,113.23584
10003,51504,10003-51504,23.23678,113.24142
10003,51505,10003-51505,23.23678,113.24142
10003,51506,10003-51506,23.23678,113.24142
10003,52437,10003-52437,23.20675,113.23487
10003,53194,10003-53194,23.21969,113.23665
10003,53195,10003-53195,23.21969,113.23665
10003,53196,10003-53196,23.21969,113.23665
10003,54681,10003-54681,23.20906,113.23384
10003,57022,10003-57022,23.22127,113.24451
10003,57023,10003-57023,23.22127,113.24451
10003,57024,10003-57024,23.22127,113.24451
10004,14544,10004-14544,23.19415,113.33156
10004,14545,10004-14545,23.19415,113.33156
10004,14546,10004-14546,23.19415,113.33156
10004,14547,10004-14547,23.19415,113.33156
10004,14548,10004-14548,23.19415,113.33156
10004,14549,10004-14549,23.19415,113.33156
10004,14550,10004-14550,23.19415,113.33156
10004,16444,10004-16444,23.18102,113.32792
10004,16447,10004-16447,23.18102,113.32792
10004,16448,10004-16448,23.18102,113.32792
10004,16449,10004-16449,23.18102,113.32792
10004,16451,10004-16451,23.18599,113.31448
10004,16452,10004-16452,23.18599,113.31448
10004,17294,10004-17294,23.18134,113.31022
10004,17295,10004-17295,23.18134,113.31022
10004,17296,10004-17296,23.18134,113.31022
10004,18084,10004-18084,23.18647,113.31395
10004,18085,10004-18085,23.18647,113.31395
10004,18086,10004-18086,23.18647,113.31395
10004,18087,10004-18087,23.18647,113.31395
10004,18088,10004-18088,23.18647,113.31395
10004,18089,10004-18089,23.18647,113.31395
10004,18091,10004-18091,23.18099,113.3203
10004,18092,10004-18092,23.18099,113.3203
10004,18093,10004-18093,23.18099,113.3203
10004,19917,10004-19917,23.19077,113.32541
10004,20601,10004-20601,23.18446,113.31601
10004,20602,10004-20602,23.18446,113.31601
10004,20603,10004-20603,23.18446,113.31601
10004,22451,10004-22451,23.18134,113.31022
10004,23021,10004-23021,23.19754,113.33489
10004,23022,10004-23022,23.19754,113.33489
10004,23023,10004-23023,23.19754,113.33489
10004,23024,10004-23024,23.18193,113.33135
10004,23025,10004-23025,23.18193,113.33135
10004,23026,10004-23026,23.18193,113.33135
10004,23047,10004-23047,23.19754,113.33489
10004,23048,10004-23048,23.19754,113.33489
10004,23049,10004-23049,23.19754,113.33489
10004,24804,10004-24804,23.18099,113.3203
10004,25197,10004-25197,23.19022,113.32805
10004,25198,10004-25198,23.19022,113.32805
10004,25199,10004-25199,23.19022,113.32805
10004,25431,10004-25431,23.18207,113.31616
10004,25432,10004-25432,23.18207,113.31616
10004,25433,10004-25433,23.18207,113.31616
10004,25434,10004-25434,23.18207,113.31616
10004,26671,10004-26671,23.1919,113.33571
10004,26672,10004-26672,23.1919,113.33571
10004,26673,10004-26673,23.19184,113.33627
10004,27054,10004-27054,23.19022,113.32805
10004,27055,10004-27055,23.19022,113.32805
10004,27056,10004-27056,23.19022,113.32805
10004,28311,10004-28311,23.18377,113.31556
10004,30027,10004-30027,23.17949,113.32716
10004,30401,10004-30401,23.18409,113.317
10004,30424,10004-30424,23.18446,113.31601
10004,30444,10004-30444,23.1903,113.32173
10004,30447,10004-30447,23.1903,113.32173
10004,30451,10004-30451,23.18251,113.32028
10004,31654,10004-31654,23.17896,113.32723
10004,31655,10004-31655,23.17896,113.32723
10004,31656,10004-31656,23.17896,113.32723
10004,32517,10004-32517,23.18527,113.31931
10004,33047,10004-33047,23.17779,113.31719
10004,33471,10004-33471,23.18563,113.32314
10004,34051,10004-34051,23.18944,113.31664
10004,34052,10004-34052,23.18944,113.31664
10004,34053,10004-34053,23.18944,113.31664
10004,34054,10004-34054,23.18944,113.31664
10004,34055,10004-34055,23.18944,113.31664
10004,34056,10004-34056,23.18944,113.31664
10004,36614,10004-36614,23.18651,113.31713
10004,36615,10004-36615,23.18651,113.31713
10004,36687,10004-36687,23.1858,113.32926
10004,36688,10004-36688,23.1858,113.32926
10004,36689,10004-36689,23.1858,113.32926
10004,38217,10004-38217,23.19928,113.33019
10004,38218,10004-38218,23.19928,113.33019
