,app_market,email,game,instant_messager,map,music,p2p,reading,shopping,social_networks,stock,video,web_browsing,cell
app_market,1.0,-0.17743839647234677,-0.12409334860591142,0.1929807469606894,0.15186095118810253,0.040959371381144485,-0.08607142420057287,-0.12020844862923627,0.36860036391295264,0.15433893144759125,-0.3785807483921434,-0.08724697090093661,0.14361421430172142,0.17962740839451138
email,-0.17743839647234677,1.0,0.06335530984340272,0.2970208857053257,0.39626355114673945,0.09780755431867717,-0.11675742448389895,-0.10878909044387884,-0.03077765093351314,0.23616031646656765,0.28850703103244824,-0.12304485758524021,0.3281499940779545,0.28511483799315396
game,-0.12409334860591142,0.06335530984340272,1.0,0.008774530927839412,0.3010336879314307,0.14452856835584366,0.32081547266973426,0.15503628881605566,-0.20190389298152078,-0.3189490987004691,-0.18936971377464534,0.47052427349767595,0.005598903694408562,0.13138927113610885
instant_messager,0.1929807469606894,0.2970208857053257,0.008774530927839412,1.0,0.7009813481286419,-0.430507362960799,0.10877366104448477,0.1589641913083965,-0.5137546015627746,0.6475469298976345,-0.40203949163525793,-0.286310673086662,0.9717809803385171,0.988344886769926
map,0.15186095118810253,0.39626355114673945,0.3010336879314307,0.7009813481286419,1.0,-0.4404986728848879,0.2040267173324876,0.1639502693597268,-0.13019415626103967,0.28996504774658033,-0.08197386144048538,-0.3045323167435554,0.722461425990236,0.71811686662635
music,0.040959371381144485,0.09780755431867717,0.14452856835584366,-0.430507362960799,-0.4404986728848879,1.0,-0.025651988076441153,-0.29274020791796207,0.2914860405314469,-0.3417100471725386,0.058560940340333045,0.4215496223887839,-0.477873174991402,-0.37266135845028636
p2p,-0.08607142420057287,-0.11675742448389895,0.32081547266973426,0.10877366104448477,0.2040267173324876,-0.025651988076441153,1.0,-0.10251593271093429,0.24089773099385306,-0.21095676222711954,-0.03347266170977809,0.240502627025849,0.23198479824606918,0.16953179531500043
reading,-0.12020844862923627,-0.10878909044387884,0.15503628881605566,0.1589641913083965,0.1639502693597268,-0.29274020791796207,-0.10251593271093429,1.0,-0.3280488689130237,-0.248079321913277,-0.17549229842383146,-0.28106127098658734,0.13048840704393058,0.1519974833607556
shopping,0.36860036391295264,-0.03077765093351314,-0.20190389298152078,-0.5137546015627746,-0.13019415626103967,0.2914860405314469,0.24089773099385306,-0.3280488689130237,1.0,-0.3657239379302366,0.3601587455404602,-0.05404253893079896,-0.4201702152505235,-0.5296899604873667
social_networks,0.15433893144759125,0.23616031646656765,-0.3189490987004691,0.6475469298976345,0.28996504774658033,-0.3417100471725386,-0.21095676222711954,-0.248079321913277,-0.3657239379302366,1.0,-0.22226471122844066,-0.25446395412101835,0.6364059513483282,0.5780173342202378
stock,-0.3785807483921434,0.28850703103244824,-0.18936971377464534,-0.40203949163525793,-0.08197386144048538,0.058560940340333045,-0.03347266170977809,-0.17549229842383146,0.3601587455404602,-0.22226471122844066,1.0,-0.1673922414718445,-0.24900375197005253,-0.42215458650052984
video,-0.08724697090093661,-0.12304485758524021,0.47052427349767595,-0.286310673086662,-0.3045323167435554,0.4215496223887839,0.240502627025849,-0.28106127098658734,-0.05404253893079896,-0.25446395412101835,-0.1673922414718445,1.0,-0.3192981874082318,-0.20376193146838353
web_browsing,0.14361421430172142,0.3281499940779545,0.005598903694408562,0.9717809803385171,0.722461425990236,-0.477873174991402,0.23198479824606918,0.13048840704393058,-0.4201702152505235,0.6364059513483282,-0.24900375197005253,-0.3192981874082318,1.0,0.9605541594174439
cell,0.17962740839451138,0.28511483799315396,0.13138927113610885,0.988344886769926,0.71811686662635,-0.37266135845028636,0.16953179531500043,0.1519974833607556,-0.5296899604873667,0.5780173342202378,-0.42215458650052984,-0.20376193146838353,0.9605541594174439,1.0
