,app_market,email,game,instant_messager,map,music,p2p,reading,shopping,social_networks,stock,video,web_browsing,rog
app_market,1.0,0.26963281251396404,0.11959705442775752,0.15215544789046032,-0.09949240618221286,-0.10329756614075492,0.3968698815883692,0.3990225390452197,0.33211044402415857,-0.09487079054626861,-0.10559261709939949,0.05085479900535469,-0.43450428167675686,-0.21599296474134327
email,0.26963281251396404,1.0,0.04909527160468133,-0.20709721219845026,0.01265820384451235,0.1312443406838382,-0.3620746458168998,0.11011819145642021,-0.1900049339430607,0.05340206650169044,-0.3588914912687984,-0.11551393116282438,0.4466624010856648,0.20720416862142585
game,0.11959705442775752,0.04909527160468133,1.0,0.25271396731786877,0.2621874223386856,0.02902140243519095,0.33378151326501393,0.4016600382036058,0.31536848113534605,-0.495017052656758,-0.09908998168799693,-0.06888831817592939,-0.15138990741199077,0.13810656356013357
instant_messager,0.15215544789046032,-0.20709721219845026,0.25271396731786877,1.0,0.3070686024208757,0.0033904360454905355,0.06752586746096952,0.03976516533599399,-0.13467432694529624,0.12555932879196602,-0.28695586365624914,-0.16976780147988715,-0.1425105948467356,0.10520201181499488
map,-0.09949240618221286,0.01265820384451235,0.2621874223386856,0.3070686024208757,1.0,-0.22154575604305335,-0.20644064282990496,-0.44988386292725996,-0.46000190459150875,-0.06333501813373395,-0.024725004337310993,-0.3379080432802918,0.012219120723930936,0.6898976977097634
music,-0.10329756614075492,0.1312443406838382,0.02902140243519095,0.0033904360454905355,-0.22154575604305335,1.0,0.33830428999059664,-0.01140767868570923,0.11087489503299815,-0.2569411856313967,-0.5374780302039097,-0.2124903916062736,0.03476779249758175,0.3659480583234252
p2p,0.3968698815883692,-0.3620746458168998,0.33378151326501393,0.06752586746096952,-0.20644064282990496,0.33830428999059664,1.0,0.547202008851255,0.5804081364844391,-0.505500138834448,-0.06452824194388286,0.031235198597241328,-0.5298273390575673,0.03984863579700098
reading,0.3990225390452197,0.11011819145642021,0.4016600382036058,0.03976516533599399,-0.44988386292725996,-0.01140767868570923,0.547202008851255,1.0,0.4216775214840413,-0.2907170173349313,0.09342406142773517,-0.006292783756337505,-0.28202371767787054,-0.3219617830486283
shopping,0.33211044402415857,-0.1900049339430607,0.31536848113534605,-0.13467432694529624,-0.46000190459150875,0.11087489503299815,0.5804081364844391,0.4216775214840413,1.0,-0.31602190900268884,-0.23075034241979317,0.2667540262724079,-0.38623629977290747,-0.34200336413264726
social_networks,-0.09487079054626861,0.05340206650169044,-0.495017052656758,0.12555932879196602,-0.06333501813373395,-0.2569411856313967,-0.505500138834448,-0.2907170173349313,-0.31602190900268884,1.0,0.16056006721869662,-0.07661235456097923,0.1774174286924135,-0.094335436639853
stock,-0.10559261709939949,-0.3588914912687984,-0.09908998168799693,-0.28695586365624914,-0.024725004337310993,-0.5374780302039097,-0.06452824194388286,0.09342406142773517,-0.23075034241979317,0.16056006721869662,1.0,0.04773541295121547,-0.09152887445153705,-0.3153350134726643
video,0.05085479900535469,-0.11551393116282438,-0.06888831817592939,-0.16976780147988715,-0.3379080432802918,-0.2124903916062736,0.031235198597241328,-0.006292783756337505,0.2667540262724079,-0.07661235456097923,0.04773541295121547,1.0,-0.20945903757212647,-0.4559129584642273
web_browsing,-0.43450428167675686,0.4466624010856648,-0.15138990741199077,-0.1425105948467356,0.012219120723930936,0.03476779249758175,-0.5298273390575673,-0.28202371767787054,-0.38623629977290747,0.1774174286924135,-0.09152887445153705,-0.20945903757212647,1.0,0.15425109394116346
rog,-0.21599296474134327,0.20720416862142585,0.13810656356013357,0.10520201181499488,0.6898976977097634,0.3659480583234252,0.03984863579700098,-0.3219617830486283,-0.34200336413264726,-0.094335436639853,-0.3153350134726643,-0.4559129584642273,0.15425109394116346,1.0
