,app_market,email,game,instant_messager,map,music,p2p,reading,shopping,social_networks,stock,video,web_browsing,cell
app_market,1.0,0.9274152849394881,0.9970503961524847,0.9922910152856166,0.944075267124973,0.9750882629410756,0.9979288806511467,0.9969521098303057,0.9935029305421037,0.9850846163652434,0.9871524066300292,0.9859992681212093,0.9971096118662947,-0.01896731051837235
email,0.9274152849394881,1.0,0.9444992622020341,0.9585248178835094,0.9783376121869937,0.8871926626952163,0.937137204639598,0.9457837140543938,0.949698097656671,0.9662702652689665,0.948092594120833,0.8976971011691152,0.9503320820606785,-0.018136431488716194
game,0.9970503961524847,0.9444992622020341,1.0,0.9946130997096558,0.9540808291519082,0.971584544927087,0.9987366992950171,0.9971112973487812,0.9938732140966317,0.9891265406538474,0.9892714537402083,0.9836051819430129,0.9980686782229685,-0.013831915518473435
instant_messager,0.9922910152856166,0.9585248178835094,0.9946130997096558,1.0,0.9758389377750104,0.9507639643248813,0.9921769358325776,0.9948006427551035,0.9970979526877515,0.9986911150097203,0.9946084305419647,0.9647328427053108,0.9984304385096495,-0.010423057196959216
map,0.944075267124973,0.9783376121869937,0.9540808291519082,0.9758389377750104,1.0,0.883692043058598,0.9472231380209373,0.9558008491660119,0.9683460249520358,0.9836998573043932,0.9718569953879393,0.8953284158693438,0.9645648637056029,-0.022048792471055498
music,0.9750882629410756,0.8871926626952163,0.971584544927087,0.9507639643248813,0.883692043058598,1.0,0.9791088589749589,0.9742765755665984,0.9601417521377735,0.9367325891760852,0.9409358564604701,0.9938521441110066,0.966011042910815,-0.009645063486729246
p2p,0.9979288806511467,0.937137204639598,0.9987366992950171,0.9921769358325776,0.9472231380209373,0.9791088589749589,1.0,0.9976981893918156,0.9933334414220177,0.9852810672817212,0.986039180330314,0.9882559887464364,0.9974199915831294,-0.0032720676275568993
reading,0.9969521098303057,0.9457837140543938,0.9971112973487812,0.9948006427551035,0.9558008491660119,0.9742765755665984,0.9976981893918156,1.0,0.996634538492318,0.9896864574984354,0.987732155474325,0.9835011742140832,0.9983648527517444,-0.018934882065929737
shopping,0.9935029305421037,0.949698097656671,0.9938732140966317,0.9970979526877515,0.9683460249520358,0.9601417521377735,0.9933334414220177,0.996634538492318,1.0,0.9943854476102332,0.9905736380825687,0.9708110157828699,0.9976888296629354,-0.016133375261090314
social_networks,0.9850846163652434,0.9662702652689665,0.9891265406538474,0.9986911150097203,0.9836998573043932,0.9367325891760852,0.9852810672817212,0.9896864574984354,0.9943854476102332,1.0,0.9931797877850712,0.9520145503699472,0.9945753360237783,-0.014289111206241031
stock,0.9871524066300292,0.948092594120833,0.9892714537402083,0.9946084305419647,0.9718569953879393,0.9409358564604701,0.986039180330314,0.987732155474325,0.9905736380825687,0.9931797877850712,1.0,0.9577528844872821,0.9927207906936334,-0.022738536259611333
video,0.9859992681212093,0.8976971011691152,0.9836051819430129,0.9647328427053108,0.8953284158693438,0.9938521441110066,0.9882559887464364,0.9835011742140832,0.9708110157828699,0.9520145503699472,0.9577528844872821,1.0,0.9774765134384535,-0.013280556413041497
web_browsing,0.9971096118662947,0.9503320820606785,0.9980686782229685,0.9984304385096495,0.9645648637056029,0.966011042910815,0.9974199915831294,0.9983648527517444,0.9976888296629354,0.9945753360237783,0.9927207906936334,0.9774765134384535,1.0,-0.00916673330471132
cell,-0.01896731051837235,-0.018136431488716194,-0.013831915518473435,-0.010423057196959216,-0.022048792471055498,-0.009645063486729246,-0.0032720676275568993,-0.018934882065929737,-0.016133375261090314,-0.014289111206241031,-0.022738536259611333,-0.013280556413041497,-0.00916673330471132,1.0
