,Loc,Traffic
10302-15843,"(23.08756, 113.52245)",606873474.0
9739-40194,,508764626.0
9422-56024,"(23.2044, 113.36306)",446657008.0
9452-57588,"(23.12417, 113.28343)",425215986.0
10315-29842,"(23.14855, 113.2608)",389505556.0
10317-16858,"(23.16243, 113.25941)",363170086.0
10309-65412,,355164588.0
9475-21855,"(23.17353, 113.456)",280100325.0
10032-18204,,258486083.0
10009-19057,"(23.10943, 113.2642)",250791719.0
9736-45011,"(23.04473, 113.31473)",250612913.0
10034-11852,"(23.12375, 113.40195)",248735573.0
9426-15107,"(23.12933, 113.34502)",242797866.0
9731-41,"(23.19287, 113.27761)",235605996.0
9441-25619,,226731365.0
10009-19004,"(23.09029, 113.22822)",223987964.0
9450-25949,"(23.14384, 113.2653)",209044383.0
9479-18808,"(23.15827, 113.31586)",198193778.0
9429-65428,,196085601.0
9495-23244,"(23.13406, 113.32814)",189937427.0
9439-13193,"(23.16817, 113.25944)",176897815.0
9466-19422,"(23.17407, 113.32989)",166982856.0
10306-65403,,164540031.0
10329-34212,"(23.1619, 113.26555)",163272478.0
9745-17778,,158147101.0
10009-18987,"(23.12083, 113.2372)",155122544.0
9427-23112,,154077348.0
9469-36919,"(23.09928, 113.31057)",152739200.0
10009-10507,,151089294.0
9746-33875,"(23.15938, 113.19802)",148799587.0
10009-37181,"(23.12867, 113.22729)",148265419.0
9438-28888,"(23.09843, 113.30392)",146898874.0
10034-30881,"(23.13449, 113.38899)",145376721.0
10316-52257,"(23.12799, 113.26412)",144764166.0
10013-19393,"(23.24044, 113.20426)",142237750.0
9453-31502,"(23.13472, 113.2625)",140632170.0
9664-23575,,137966593.0
9745-16104,,135293205.0
9469-20582,"(23.0962, 113.3107)",134092948.0
9437-30937,"(23.13436, 113.25402)",130549344.0
10040-49233,"(23.27131, 113.39937)",130509352.0
9453-31621,"(23.13472, 113.2625)",124473775.0
9484-1841,"(23.11761, 113.27411)",121841568.0
10042-25758,"(23.13542, 113.37072)",121604788.0
10299-28086,"(23.13037, 113.36785)",120400716.0
10299-48877,"(23.13162, 113.37006)",119757721.0
10016-33792,"(23.06982, 113.33128)",117365900.0
10314-19181,"(23.0813, 113.3103)",117233470.0
10316-50804,"(23.12361, 113.26433)",114395551.0
9748-12574,"(23.67249, 113.43862)",114090455.0
10321-17771,,111696010.0
10009-19007,"(23.11139, 113.2353)",111302484.0
9462-33553,"(23.086866, 113.261109)",110414046.0
9496-65503,,107996352.0
10009-19017,"(23.12778, 113.2508)",107960913.0
10010-12925,"(23.08135, 113.3171)",107677050.0
9448-26523,"(23.30807, 113.22832)",107239221.0
10303-65402,,106766984.0
9745-33425,,105029400.0
10310-11192,,103545823.0
9746-40024,"(23.14905, 113.19204)",103320166.0
10009-19001,"(23.12778, 113.26)",103264800.0
10315-19438,"(23.15134, 113.24997)",103171029.0
10316-51626,"(23.12744, 113.26294)",102682228.0
9422-33069,"(23.20095, 113.36056)",102463425.0
9437-17677,,102215189.0
10314-19121,"(23.09215, 113.309901)",100993060.0
9474-14258,"(23.13692, 113.33064)",100961734.0
10315-29744,"(23.15134, 113.24997)",97146667.0
10317-14831,"(23.16126, 113.2501)",95719512.0
10004-42049,"(23.17369, 113.31184)",93740710.0
9500-32281,"(23.08835, 113.26937)",93294037.0
10009-19037,"(23.10056, 113.2681)",92913699.0
9479-22916,"(23.15414, 113.32073)",91033812.0
9484-924,"(23.11628, 113.2826)",90439220.0
10009-37187,"(23.14386, 113.23681)",88545023.0
10042-14982,"(23.13655, 113.36292)",88282217.0
10314-19367,"(23.06421, 113.32169)",88024260.0
10040-55752,,87899435.0
10300-27601,,87637731.0
10009-19027,"(23.11807, 113.25979)",86874654.0
10312-16484,"(23.120357, 113.236161)",86569284.0
10009-19054,"(23.16284, 113.25129)",86187735.0
9466-25469,"(23.17258, 113.34089)",86090104.0
9452-16595,"(23.12377, 113.28634)",85899927.0
10328-43227,,85463882.0
10312-16482,"(23.120906, 113.236983)",84146832.0
9479-18812,"(23.15827, 113.31586)",84072254.0
9454-28663,"(23.093677, 113.289301)",83933406.0
9495-46674,"(23.13505, 113.31693)",82095789.0
