criteria = min_user_num > 100
#cell = 22702
#app = 340
#local_app = 76 ( 80% generated in top10)

--
local apps:
local app:19029, #user=134
local app:19054, #user=409
local app:19047, #user=206
local app:2007, #user=2185
local app:6008, #user=121
local app:13001, #user=157
local app:7001, #user=146
local app:1003, #user=85
local app:19004, #user=101
local app:2009, #user=312
local app:8011, #user=118
local app:18002, #user=564
local app:10086, #user=92
local app:2002, #user=314
local app:10003, #user=80
local app:24007, #user=154
local app:19146, #user=122
local app:10059, #user=659
local app:10009, #user=201
local app:6023, #user=6355
local app:21004, #user=1771
local app:7004, #user=411
local app:14002, #user=246
local app:10062, #user=952
local app:19088, #user=93
local app:26001, #user=191
local app:19056, #user=747
local app:10037, #user=111
local app:6042, #user=1575
local app:9001, #user=1002
local app:10071, #user=151
local app:19097, #user=1331
local app:2021, #user=215
local app:19107, #user=245
local app:19140, #user=512
local app:16008, #user=144
local app:19141, #user=13166
local app:10029, #user=310
local app:17002, #user=518
local app:1001, #user=167
local app:19011, #user=320
local app:6037, #user=262
local app:22002, #user=561
local app:22003, #user=132
local app:8001, #user=1250
local app:5001, #user=140
local app:10034, #user=126
local app:3030, #user=111
local app:23001, #user=537
local app:19089, #user=168
local app:19171, #user=7362
local app:3020, #user=141
local app:10111, #user=666
local app:17005, #user=2182
local app:16003, #user=200
local app:13011, #user=343
local app:6039, #user=1559
local app:2004, #user=419
local app:6041, #user=217
local app:3003, #user=129
local app:15007, #user=249
local app:6038, #user=395
local app:3017, #user=120
local app:10027, #user=1523
local app:6012, #user=548
local app:9003, #user=5641
local app:11008, #user=177
local app:3004, #user=199
local app:10053, #user=127
local app:10107, #user=519
local app:10011, #user=427
local app:19043, #user=388
local app:19159, #user=175
local app:2016, #user=263
local app:3012, #user=190
local app:10041, #user=169
