serviceType, lac-cid, lat, long, attributes
10112, 9434-32632,0.000000,0.000000, 2378744
10112, 10326-58139,0.000000,0.000000, 2029252
10112, 10032-65419,0.000000,0.000000, 1158167
10112, 9454-48859,23.090030,113.285740, 1103730
10112, 9509-26294,23.117320,113.400090, 763792
10112, 10311-19217,23.073890,113.302700, 542269
10112, 9745-41909,0.000000,0.000000, 424418
10112, 10038-26609,23.151790,113.482550, 336424
10112, 10312-47751,23.124660,113.242540, 262733
10112, 10303-59628,0.000000,0.000000, 153192
19035, 10040-55752,0.000000,0.000000, 36798
19035, 10016-17618,23.067450,113.339570, 2661
19035, 9434-36371,0.000000,0.000000, 2236
19035, 9748-50721,23.598580,113.529570, 2218
19035, 9739-31855,0.000000,0.000000, 2052
19035, 9451-38125,23.136590,113.275830, 1808
19035, 9509-10915,23.116680,113.395730, 1668
19035, 9475-28557,23.181790,113.473500, 1302
19035, 10032-18204,0.000000,0.000000, 1184
19035, 10325-15024,23.163730,113.380500, 1101
10091, 9444-65401,0.000000,0.000000, 348100
10091, 9447-32994,0.000000,0.000000, 75527
10091, 10015-24817,23.111710,113.540120, 67695
10091, 9734-627,23.152170,113.245830, 51190
10091, 9483-28736,23.100420,113.430180, 34705
10091, 10042-26867,23.131950,113.377810, 29395
10091, 10326-11072,0.000000,0.000000, 10566
10091, 9475-10241,0.000000,0.000000, 8250
10091, 10329-34262,23.169210,113.268790, 4195
10091, 9429-65434,0.000000,0.000000, 3752
19099, 10009-19037,23.100560,113.268100, 294216
19099, 10315-19817,23.148260,113.252950, 290460
19099, 9423-30714,23.128630,113.311580, 257598
19099, 9508-58619,23.121130,113.270880, 138766
19099, 10039-23997,23.479760,113.550970, 49714
19099, 9731-14959,23.211470,113.278980, 9109
19099, 10315-29842,23.148550,113.260800, 852
19099, 9451-38125,23.136590,113.275830, 678
19099, 9452-52939,0.000000,0.000000, 408
19099, 9481-11343,23.095310,113.256420, 378
19081, 10035-47762,0.000000,0.000000, 4208
19081, 10037-17342,0.000000,0.000000, 3612
19081, 9743-34338,0.000000,0.000000, 2775
19081, 9506-12616,23.652780,113.653890, 2775
19081, 10023-27041,0.000000,0.000000, 2648
19081, 9743-2611,0.000000,0.000000, 1977
19081, 10027-14216,0.000000,0.000000, 1951
19081, 9734-58749,23.151530,113.245330, 1596
19081, 9429-65409,0.000000,0.000000, 945
19081, 10038-59742,0.000000,0.000000, 811
16010, 10309-65419,0.000000,0.000000, 67506
16010, 9481-33522,23.089764,113.258379, 27814
16010, 10031-11598,0.000000,0.000000, 19122
16010, 10043-46265,23.143110,113.308910, 10972
16010, 10309-16381,0.000000,0.000000, 7284
16010, 10004-42049,23.173690,113.311840, 5433
16010, 10044-57481,23.559750,113.568680, 3769
16010, 10329-58863,23.153340,113.262650, 1954
16010, 9740-40561,0.000000,0.000000, 1311
16010, 10031-65405,0.000000,0.000000, 780
6028, 10038-51822,0.000000,0.000000, 410736
6028, 9664-55445,0.000000,0.000000, 192077
6028, 10016-57604,23.069820,113.331280, 139539
6028, 9736-58857,23.071890,113.318340, 52843
6028, 10333-24326,0.000000,0.000000, 23382
6028, 10042-17098,23.135510,113.372640, 12246
6028, 9728-20994,23.171290,113.243420, 11387
6028, 9492-13948,23.102900,113.288000, 10506
6028, 10329-34314,23.167450,113.272070, 7624
6028, 9425-19385,23.199560,113.379360, 2360
5005, 9506-51363,23.761660,113.739720, 67650
5005, 10026-16095,23.244950,113.342200, 43939
5005, 9487-38714,23.140220,113.216820, 8142
5005, 9747-18155,23.204170,113.324170, 6695
5005, 9462-28175,23.088870,113.266240, 4689
5005, 9484-901,23.117610,113.274100, 2810
5005, 9729-13978,23.156390,113.340620, 1416
5005, 10316-38117,23.120780,113.259690, 1376
5005, 9664-65408,0.000000,0.000000, 1322
5005, 10299-15177,23.118340,113.354200, 1322
19044, 9743-36027,0.000000,0.000000, 38933
19044, 9742-18656,0.000000,0.000000, 35500
19044, 10333-39128,0.000000,0.000000, 26626
19044, 9435-24786,0.000000,0.000000, 14488
19044, 10023-18526,0.000000,0.000000, 11768
19044, 10333-46798,0.000000,0.000000, 6800
19044, 9448-40054,23.314190,113.248110, 6370
19044, 9741-46498,0.000000,0.000000, 6192
19044, 10307-47124,0.000000,0.000000, 5228
19044, 9508-59396,23.128690,113.268300, 3400
10003, 9474-11845,23.141350,113.335080, 550763
10003, 10032-20872,0.000000,0.000000, 220149
10003, 9457-38434,0.000000,0.000000, 201784
10003, 10038-26611,23.151130,113.494770, 158149
10003, 10013-18713,23.208250,113.226770, 129247
10003, 9746-54598,0.000000,0.000000, 79580
10003, 10032-65407,0.000000,0.000000, 72512
10003, 10043-19337,23.148810,113.300770, 70030
10003, 10329-48501,0.000000,0.000000, 58729
10003, 10044-49186,23.582630,113.513670, 42795
19054, 10314-47444,0.000000,0.000000, 7012
19054, 9444-16179,0.000000,0.000000, 354
19054, 9441-36118,0.000000,0.000000, 354
19054, 9999-53023,23.169870,113.311380, 0
19054, 9999-53013,0.000000,0.000000, 0
19054, 9999-47587,23.169870,113.311380, 0
19054, 9999-44029,23.165160,113.315340, 0
19054, 9999-36928,23.170490,113.315920, 0
19054, 9999-36927,23.170490,113.315920, 0
19054, 9999-33662,23.175940,113.321670, 0
2009, 9479-26663,23.160980,113.319990, 680598
2009, 10017-11168,0.000000,0.000000, 658902
2009, 10031-39317,0.000000,0.000000, 120780
2009, 9460-65430,23.085680,113.198230, 110466
2009, 9495-23326,23.134060,113.328140, 95040
2009, 10032-17161,0.000000,0.000000, 77958
2009, 10031-20281,0.000000,0.000000, 63036
2009, 10031-39316,22.758050,113.555620, 60066
2009, 9731-41,23.192870,113.277610, 41064
2009, 9460-28382,23.085680,113.198230, 38712
19138, 9445-22437,0.000000,0.000000, 3068
19138, 9451-38125,23.136590,113.275830, 452
19138, 10037-24073,0.000000,0.000000, 354
19138, 9451-38124,23.136590,113.275830, 113
19138, 9495-23218,23.136360,113.323310, 0
19138, 9487-30724,23.145840,113.223630, 0
19138, 9481-35803,23.095630,113.262520, 0
19138, 9457-26832,23.383370,113.402310, 0
19138, 9435-24449,0.000000,0.000000, 0
19138, 10329-58863,23.153340,113.262650, 0
15001, 10320-21106,23.218680,113.257300, 25419
15001, 10306-28799,23.003060,113.265840, 7998
15001, 9481-11244,23.098410,113.250660, 6391
15001, 10032-10425,0.000000,0.000000, 6308
15001, 10036-47874,0.000000,0.000000, 5790
15001, 10015-45501,23.117640,113.543130, 5684
15001, 9745-17779,0.000000,0.000000, 5569
15001, 10027-13145,0.000000,0.000000, 5569
15001, 10039-23937,23.425000,113.498340, 5002
15001, 10027-25826,0.000000,0.000000, 3170
19098, 10008-65412,0.000000,0.000000, 1127110
19098, 10013-17964,23.216390,113.220600, 894429
19098, 9459-26246,23.129500,113.356130, 288728
19098, 9429-65409,0.000000,0.000000, 242708
19098, 10327-18784,23.149740,113.304530, 105468
19098, 10013-19521,23.219770,113.227810, 65141
19098, 10007-52117,0.000000,0.000000, 28128
19098, 9739-40003,0.000000,0.000000, 24040
19098, 10303-51502,0.000000,0.000000, 12249
19098, 10040-15257,23.189170,113.436530, 8510
6043, 9487-30724,23.145840,113.223630, 546872
6043, 9437-53257,23.134360,113.254020, 389312
6043, 9741-65409,0.000000,0.000000, 196498
6043, 10011-17698,0.000000,0.000000, 196466
6043, 10316-25904,23.131110,113.256110, 56076
6043, 9442-11472,0.000000,0.000000, 35431
6043, 10332-36113,0.000000,0.000000, 11050
6043, 9487-65400,23.144600,113.216500, 3915
6043, 10031-33375,0.000000,0.000000, 3760
6043, 10036-15678,23.234480,113.293690, 2072
19101, 10035-54792,0.000000,0.000000, 9532
19101, 10034-11852,23.123750,113.401950, 5105
19101, 10031-11597,0.000000,0.000000, 3039
19101, 9491-25287,23.099102,113.359474, 836
19101, 10023-15736,0.000000,0.000000, 456
19101, 9451-38125,23.136590,113.275830, 339
19101, 10003-25341,23.199830,113.244850, 298
19101, 10017-24358,23.120130,113.295300, 294
19101, 10321-59314,0.000000,0.000000, 200
19101, 9466-15041,23.172950,113.335180, 102
19102, 9487-28331,23.152960,113.217280, 4097
19102, 9492-28812,23.107160,113.287080, 2459
19102, 9487-41492,23.145150,113.211310, 306
19102, 10309-17662,0.000000,0.000000, 240
19102, 9425-54181,0.000000,0.000000, 236
19102, 10030-21881,23.118610,113.243300, 236
19102, 10307-65404,0.000000,0.000000, 204
19102, 10029-58744,23.117430,113.337670, 122
19102, 9729-35141,23.162370,113.342110, 0
19102, 9692-44282,0.000000,0.000000, 0
19103, 9451-38125,23.136590,113.275830, 4859
19103, 10326-35584,0.000000,0.000000, 2672
19103, 10031-65499,0.000000,0.000000, 2547
19103, 9472-29844,23.129430,113.323470, 1863
19103, 9450-23857,23.139840,113.267120, 1635
19103, 9475-28557,23.181790,113.473500, 1508
19103, 9451-38124,23.136590,113.275830, 1469
19103, 9441-18546,0.000000,0.000000, 1221
19103, 9506-20981,23.712770,113.662780, 1198
19103, 9481-11316,23.106293,113.245692, 880
6048, 10040-15257,23.189170,113.436530, 167479
6048, 9450-37077,23.152900,113.296020, 105883
6048, 10013-18021,23.206300,113.231440, 60216
6048, 9466-15078,23.177500,113.339700, 36231
6048, 9472-18044,23.131260,113.314000, 10704
6048, 10029-23557,23.102576,113.320315, 8730
6048, 9664-23575,0.000000,0.000000, 7651
6048, 10320-35414,23.212260,113.270280, 6406
6048, 9675-11817,0.000000,0.000000, 6064
6048, 10042-56711,0.000000,0.000000, 4946
19106, 9746-50865,0.000000,0.000000, 46060
19106, 9745-59625,0.000000,0.000000, 33000
19106, 9432-24767,0.000000,0.000000, 23760
19106, 10309-21331,0.000000,0.000000, 15840
19106, 9736-50835,0.000000,0.000000, 14520
19106, 9453-31621,23.134720,113.262500, 13160
19106, 9460-28382,23.085680,113.198230, 5264
19106, 9472-51005,23.129100,113.340050, 3960
19106, 9453-31502,23.134720,113.262500, 3888
19106, 9470-28194,23.146130,113.327420, 2640
6051, 9422-41001,23.187040,113.337070, 3747667
6051, 10299-55538,23.126510,113.362550, 1357600
6051, 9426-15195,23.118400,113.348670, 558278
6051, 10015-36203,23.116950,113.482910, 469360
6051, 10035-16465,23.228580,113.252150, 69124
6051, 9429-22689,0.000000,0.000000, 33696
6051, 10041-21004,23.185410,113.247780, 30992
6051, 9459-17071,23.131750,113.351690, 24602
6051, 9454-47305,23.089050,113.290840, 24339
6051, 9426-52926,23.129330,113.345020, 19239
19168, 9734-29772,23.150890,113.244410, 18585
19168, 9441-36118,0.000000,0.000000, 10369
19168, 10021-34699,0.000000,0.000000, 6844
19168, 9464-48854,0.000000,0.000000, 4469
19168, 10317-14853,23.163690,113.245420, 3304
19168, 10042-25758,23.135420,113.370720, 1694
19168, 10044-16842,23.562220,113.538880, 327
19168, 10316-31617,23.132220,113.261390, 218
19168, 9450-25949,23.143840,113.265300, 109
19168, 9998-14462,23.114396,113.242629, 0
19109, 10326-45488,0.000000,0.000000, 26112
19109, 9999-32777,23.173710,113.325070, 2517
19109, 10016-17617,23.067450,113.339570, 2078
19109, 9479-37594,23.150260,113.334490, 612
19109, 9442-34408,0.000000,0.000000, 490
19109, 9487-41492,23.145150,113.211310, 236
19109, 9452-27758,23.126160,113.283090, 236
19109, 10329-43749,23.164990,113.274110, 204
19109, 10009-41637,0.000000,0.000000, 204
19109, 9731-33252,23.207280,113.278300, 102
4006, 10299-14344,23.121160,113.359170, 235609
4006, 10021-24888,0.000000,0.000000, 79820
4006, 10032-65409,0.000000,0.000000, 47456
4006, 9466-21913,23.167050,113.336630, 41741
4006, 10003-19808,23.199830,113.244850, 30140
4006, 9472-28857,23.129710,113.333870, 28621
4006, 10039-35481,23.426140,113.491420, 28618
4006, 9457-16457,23.399180,113.372760, 20195
4006, 10318-13212,23.184370,113.238460, 18854
4006, 9444-19797,23.068825,113.293078, 13304
19111, 10317-14804,23.163530,113.251780, 23306
19111, 9734-14437,23.163150,113.229370, 8816
19111, 9450-16921,23.141800,113.271280, 4828
19111, 9728-22192,23.164440,113.236120, 3236
19111, 9734-29741,23.150490,113.246810, 2898
19111, 10014-16950,23.140119,113.231296, 1878
19111, 9470-33001,23.144260,113.316130, 1800
19111, 9731-54187,0.000000,0.000000, 1290
19111, 9728-22191,23.164440,113.236120, 1222
19111, 9461-21621,0.000000,0.000000, 1222
4008, 9457-57001,23.387860,113.351950, 294192
4008, 10306-1137,0.000000,0.000000, 144756
4008, 10312-16762,23.122778,113.239167, 111556
4008, 9492-24147,23.104590,113.298910, 62995
4008, 9492-51247,0.000000,0.000000, 31164
4008, 10299-14255,23.120310,113.365700, 26418
4008, 10303-52048,0.000000,0.000000, 19149
4008, 9475-46254,0.000000,0.000000, 14815
4008, 10307-32288,0.000000,0.000000, 12117
4008, 9430-53181,23.256670,113.249630, 10537
19151, 9664-23575,0.000000,0.000000, 45541
19151, 10023-23018,0.000000,0.000000, 11657
19151, 9500-50659,23.092188,113.279719, 3410
19151, 9447-45139,0.000000,0.000000, 2622
19151, 9741-32611,0.000000,0.000000, 690
19151, 9475-21855,23.173530,113.456000, 570
19151, 9451-38125,23.136590,113.275830, 565
19151, 9675-20979,0.000000,0.000000, 534
19151, 9462-26161,23.081690,113.272500, 510
19151, 10035-47201,23.230030,113.261160, 459
13001, 9470-23317,23.143420,113.323560, 2619196
13001, 10310-17738,0.000000,0.000000, 1077932
13001, 10323-11802,0.000000,0.000000, 1030990
13001, 9472-53957,23.124310,113.333150, 581717
13001, 10310-56679,0.000000,0.000000, 360963
13001, 10306-52321,0.000000,0.000000, 112544
13001, 9458-65460,23.093611,113.214013, 109238
13001, 10324-25128,23.541660,113.597700, 78327
13001, 10322-16186,23.309190,113.348690, 74728
13001, 9444-65464,0.000000,0.000000, 65082
19143, 10309-17662,0.000000,0.000000, 1110
19143, 10043-53434,23.141430,113.297760, 651
19143, 10026-13305,23.215890,113.372840, 583
19143, 9487-41492,23.145150,113.211310, 424
19143, 10307-34768,0.000000,0.000000, 416
19143, 10033-48682,0.000000,0.000000, 352
19143, 10015-40137,23.098970,113.536610, 236
19143, 9438-20654,23.087340,113.301050, 113
19143, 9734-10645,23.157920,113.229200, 102
19143, 9479-22931,23.154140,113.320730, 102
10028, 9470-23248,23.147670,113.322670, 102860
10028, 9500-29047,23.093090,113.276580, 87156
10028, 10042-25758,23.135420,113.370720, 12630
10028, 9495-22607,23.133700,113.325750, 6394
10028, 10303-13209,0.000000,0.000000, 1218
10028, 10037-24073,0.000000,0.000000, 961
10028, 9461-56974,0.000000,0.000000, 890
10028, 10031-33374,0.000000,0.000000, 610
10028, 9481-19697,23.096290,113.248910, 354
10028, 9444-16179,0.000000,0.000000, 354
10073, 9734-50733,23.152580,113.243610, 272423
10073, 10307-49331,0.000000,0.000000, 208997
10073, 10021-34697,0.000000,0.000000, 79359
10073, 10018-13374,0.000000,0.000000, 44698
10073, 10332-58036,0.000000,0.000000, 25020
10073, 10037-17319,0.000000,0.000000, 10796
10073, 9748-62768,23.695110,113.451170, 5419
10073, 9464-18385,0.000000,0.000000, 4665
10073, 9464-50596,0.000000,0.000000, 2745
10073, 10332-55002,0.000000,0.000000, 1499
19045, 9742-65400,0.000000,0.000000, 6988
19045, 9742-40191,0.000000,0.000000, 702
19045, 10332-12144,0.000000,0.000000, 490
19045, 10323-36594,0.000000,0.000000, 414
19045, 9451-38125,23.136590,113.275830, 339
19045, 9435-29337,0.000000,0.000000, 310
19045, 9451-38124,23.136590,113.275830, 226
19045, 10030-25608,23.117832,113.242244, 204
19045, 10312-16731,23.123840,113.232450, 98
19045, 9741-65432,0.000000,0.000000, 0
10035, 10005-26153,23.101680,113.274060, 5819
10035, 9483-25303,23.116720,113.418780, 2192
10035, 10299-46115,0.000000,0.000000, 2142
10035, 10017-53303,0.000000,0.000000, 820
10035, 10034-37691,23.124880,113.403980, 738
10035, 9487-41492,23.145150,113.211310, 644
10035, 10010-38371,0.000000,0.000000, 636
10035, 10006-17428,0.000000,0.000000, 481
10035, 9472-22213,23.130540,113.337740, 361
10035, 10035-18121,23.232080,113.264370, 212
10038, 10031-23549,0.000000,0.000000, 9421
10038, 9740-44133,0.000000,0.000000, 7140
10038, 9458-28435,23.073380,113.228170, 2902
10038, 10308-15294,0.000000,0.000000, 2801
10038, 10022-65421,0.000000,0.000000, 2073
10038, 9440-25177,23.272640,113.210220, 1293
10038, 10015-40137,23.098970,113.536610, 708
10038, 9447-52819,0.000000,0.000000, 624
10038, 9452-27758,23.126160,113.283090, 554
10038, 9487-41492,23.145150,113.211310, 408
10039, 9484-59289,0.000000,0.000000, 218773
10039, 9509-33524,23.118140,113.391920, 153979
10039, 10040-55752,0.000000,0.000000, 65196
10039, 10312-51975,23.123270,113.230420, 59391
10039, 9459-31327,23.136220,113.354930, 58628
10039, 10312-54981,23.123270,113.230420, 50849
10039, 9451-27647,23.136230,113.283160, 47436
10039, 10322-26815,23.305280,113.395560, 43935
10039, 10300-34551,0.000000,0.000000, 40654
10039, 10328-50183,0.000000,0.000000, 25191
19060, 9452-38024,23.127880,113.292780, 229388
19060, 10003-42058,23.221270,113.244510, 86948
19060, 9500-28942,23.095840,113.276210, 78394
19060, 10013-17965,23.216390,113.220600, 77549
19060, 10303-34911,0.000000,0.000000, 40934
19060, 9452-33085,23.126250,113.289590, 24910
19060, 10309-49463,0.000000,0.000000, 21382
19060, 9425-26697,23.204280,113.381640, 14207
19060, 9457-26557,23.383360,113.402310, 12873
19060, 9452-29769,23.122690,113.290100, 10817
19003, 9493-11792,0.000000,0.000000, 437452
19003, 10328-43234,0.000000,0.000000, 126922
19003, 9743-36027,0.000000,0.000000, 118055
19003, 9432-56532,0.000000,0.000000, 114780
19003, 9740-31219,0.000000,0.000000, 104756
19003, 9729-23126,23.154760,113.348560, 72666
19003, 9743-20316,0.000000,0.000000, 56974
19003, 10302-46587,23.087560,113.522450, 47704
19003, 9692-37222,0.000000,0.000000, 45384
19003, 10302-26429,23.087560,113.522450, 37088
19004, 10303-56264,0.000000,0.000000, 77426
19004, 9748-12574,23.672490,113.438620, 44096
19004, 10031-65405,0.000000,0.000000, 24456
19004, 9435-18443,0.000000,0.000000, 21815
19004, 10313-11423,23.113392,113.248109, 21084
19004, 10007-20111,0.000000,0.000000, 9018
19004, 10022-22614,0.000000,0.000000, 4858
19004, 10031-33841,0.000000,0.000000, 4681
19004, 9431-22509,0.000000,0.000000, 4185
19004, 9742-59215,0.000000,0.000000, 2641
19082, 9438-52419,23.090600,113.303220, 3234
19082, 10323-36673,0.000000,0.000000, 744
19082, 9739-53324,0.000000,0.000000, 432
19082, 10323-36594,0.000000,0.000000, 342
19082, 10029-29849,23.114900,113.336550, 330
19082, 9429-65408,0.000000,0.000000, 310
19082, 10312-26902,23.122468,113.234072, 228
19082, 9451-38125,23.136590,113.275830, 226
19082, 9746-40063,23.161110,113.198840, 118
19082, 10310-24053,0.000000,0.000000, 118
