lac-cid,lat,long
42260-9712,0.0,0.0
42266-19448,23.06317,113.227613
42260-9711,0.0,0.0
9442-20279,23.044116,113.441242
42266-19446,23.06317,113.227613
9467-16494,23.12778,113.2269
10016-26048,23.075,113.34444
10016-26049,23.075,113.34444
9467-16491,23.124971,113.223955
10318-49777,23.19917,113.22135
10016-26047,23.075,113.34444
9442-20277,23.045252,113.446236
42260-9713,0.0,0.0
9486-57681,23.20659,113.2652
9486-57687,23.20659,113.2652
42266-422,23.07701,113.28831
10029-32321,23.10676,113.3359
10318-14431,23.18291,113.23099
10318-14433,23.18291,113.23099
10318-14432,23.18291,113.23099
10318-14435,0.0,0.0
10318-14434,0.0,0.0
10318-14436,0.0,0.0
42268-5552,22.94434,113.35607
9506-40571,23.65202,113.64685
9434-26331,0.0,0.0
10316-31257,23.12869,113.25896
9472-59942,0.0,0.0
9472-38304,23.12678,113.31757
42268-2026,22.92615,113.36315
10321-2151,0.0,0.0
10316-31258,23.12869,113.25896
10321-2153,0.0,0.0
9458-28367,23.06701,113.22063
10310-48597,0.0,0.0
9458-28368,23.06701,113.22063
42263-4871,22.98088,113.49819
10042-11497,0.0,0.0
10007-28501,23.43473,113.18502
10007-28503,23.43473,113.18502
10007-28502,23.43473,113.18502
9449-39498,23.39211,113.30779
10021-24889,0.0,0.0
9453-20634,23.13637,113.26464
9449-39494,23.39018,113.29521
9449-39495,23.39211,113.30779
42260-473,23.34418,113.26469
9449-39497,23.39211,113.30779
42265-58491,23.119696,113.359109
10299-48878,23.13162,113.37006
10299-48877,23.13162,113.37006
42259-18573,0.0,0.0
42259-18572,0.0,0.0
42259-18571,0.0,0.0
9423-51573,23.107286,113.307573
10027-46861,0.0,0.0
9461-20681,23.009434,113.381888
9461-20685,0.0,0.0
9461-20684,0.0,0.0
9461-20686,0.0,0.0
10317-37557,23.15911,113.24686
10308-20039,23.281486,113.788526
10308-20038,0.0,0.0
10308-20037,23.281038,113.796412
42263-30401,22.943161,113.471686
9467-44854,23.117271,113.203343
42266-22811,23.107725,113.246773
9464-51593,0.0,0.0
42266-421,23.07701,113.28831
9475-50727,23.15091,113.43595
42266-423,23.07701,113.28831
9480-50902,23.089122,113.352371
10323-14201,0.0,0.0
10323-14202,0.0,0.0
9480-50901,23.089122,113.352371
9739-10835,0.0,0.0
42259-44561,23.145101,113.331546
42260-42642,23.39018,113.295204
9506-44865,23.64042,113.65085
42260-42641,23.39018,113.295204
9486-57688,0.0,0.0
10042-14041,23.14164,113.3605
42266-63692,23.07836,113.22352
42266-63693,23.07836,113.22352
42266-63691,23.07836,113.22352
42261-2163,23.40153,113.20061
42261-2162,23.40153,113.20061
42261-2161,23.40153,113.20061
9429-65424,0.0,0.0
42266-37041,23.11695,113.2822
9455-35687,0.0,0.0
9472-25364,23.13038,113.33096
9455-35688,0.0,0.0
9455-35689,0.0,0.0
9458-25207,23.074208,113.236352
9481-19698,23.09629,113.24891
9481-19699,23.09629,113.24891
10022-22619,22.975856,113.476971
9481-19697,23.09629,113.24891
9458-25208,23.074208,113.236352
9458-25209,23.074208,113.236352
42265-46181,23.137515,113.306181
9484-44384,23.109262,113.259738
10006-17432,23.399342,113.236901
9484-44381,23.114463,113.264754
9484-44383,23.114463,113.264754
9484-44382,23.114463,113.264754
10310-46467,0.0,0.0
9430-29298,23.24808,113.25794
42288-23977,23.30221,113.62473
42288-23976,23.30221,113.62473
42288-23978,23.30221,113.62473
10311-35581,23.07378,113.28746
42261-45191,23.389185,113.231578
9455-48613,22.958384,113.419418
9472-59943,23.12752,113.31807
9472-59941,0.0,0.0
10011-62035,22.840938,113.350507
42260-12571,23.20696,113.27819
42260-12573,23.20696,113.27819
42260-12572,23.20696,113.27819
10315-29733,23.15417,113.25064
9739-22047,22.948674,113.342064
10321-2152,0.0,0.0
9464-22336,23.37037,113.52758
9464-22337,23.39809,113.48063
9464-22334,23.37037,113.52758
9464-22335,23.37037,113.52758
9464-22338,23.39809,113.48063
9464-22339,23.39809,113.48063
9458-49601,0.0,0.0
10026-30505,23.2405,113.34606
42259-29403,0.0,0.0
42259-29402,0.0,0.0
42259-29401,0.0,0.0
10026-30504,23.2405,113.34606
10315-29730,0.0,0.0
42289-29862,23.588,113.53311
42289-29863,23.588,113.53311
42289-29861,23.588,113.53311
9675-12747,0.0,0.0
9510-15781,23.26114,113.31872
9510-15783,23.26114,113.31872
9510-15782,23.26114,113.31872
42289-16262,23.45484,113.48579
42289-16263,23.45484,113.48579
42289-16261,23.45484,113.48579
10312-16738,23.125549,113.240912
10312-16739,23.125549,113.240912
10312-16732,23.12384,113.23245
10312-16733,23.12384,113.23245
10312-16731,23.12384,113.23245
10312-16736,23.125549,113.240912
10312-16737,23.125549,113.240912
10312-16734,23.125549,113.240912
10312-16735,23.125549,113.240912
42267-1506,23.01257,113.31834
9743-2613,0.0,0.0
42259-36001,23.1425,113.33917
42267-58551,22.991234,113.316609
9466-43957,0.0,0.0
42267-5212,23.02358,113.37096
42267-5213,23.02358,113.37096
10038-37927,0.0,0.0
42267-5211,23.02358,113.37096
10027-35944,0.0,0.0
10323-38945,23.300249,113.829479
10323-38944,0.0,0.0
10017-53191,23.12344,113.29716
10323-38946,0.0,0.0
10044-28447,23.55193,113.5802
42267-28051,23.03804,113.29241
42267-28052,23.03804,113.29241
42267-28053,23.03804,113.29241
42261-27471,23.44498,113.1771
42261-27473,23.44498,113.1771
42261-27472,23.44498,113.1771
42259-17518,23.16444,113.37475
9473-10574,0.0,0.0
9743-41212,0.0,0.0
9743-41213,23.291684,113.839747
42259-17516,23.16444,113.37475
42259-17517,23.16444,113.37475
9493-14753,23.12219,113.38609
9422-14917,23.19623,113.36398
9493-14750,23.12854,113.38966
9493-14757,23.12361,113.3897
9493-14756,23.12219,113.38609
9493-14755,23.12219,113.38609
9493-14754,23.12219,113.38609
9493-14759,23.12361,113.3897
9493-14758,23.12361,113.3897
9741-59294,0.0,0.0
42265-35652,0.0,0.0
42259-29421,0.0,0.0
42266-46951,23.13575,113.25027
42265-35651,0.0,0.0
42263-13742,22.75137,113.58275
42263-13743,22.75137,113.58275
42263-13741,22.75137,113.58275
9484-1001,23.1161,113.28182
10303-56869,0.0,0.0
9437-32445,23.14118,113.25291
9437-32444,23.14118,113.25291
10317-16418,23.16438,113.25796
9437-32446,23.14118,113.25291
10317-16417,23.16438,113.25796
42275-24111,23.40639,113.08722
42275-24112,23.40639,113.08722
42275-24113,23.40639,113.08722
42260-24702,23.30974,113.38866
10017-50882,23.1248,113.30424
9484-20094,23.113107,113.267707
42267-13302,23.0252,113.32147
42267-13303,23.0252,113.32147
42267-13301,23.0252,113.32147
42260-471,23.34418,113.26469
10313-16541,23.110883,113.232994
10313-16542,23.110883,113.232994
10307-59367,0.0,0.0
9734-771,23.15234,113.2474
9734-772,23.15234,113.2474
9455-38153,0.0,0.0
42260-472,23.34418,113.26469
42265-45881,23.129712,113.312225
9739-38556,0.0,0.0
9474-41441,23.13716,113.33272
42265-44132,23.11669,113.33601
42265-44131,23.11669,113.33601
10011-14889,0.0,0.0
42288-18382,0.0,0.0
42288-18383,0.0,0.0
42288-18381,0.0,0.0
10035-21734,23.22858,113.25215
10321-51061,23.352499,113.223386
10321-51063,0.0,0.0
10321-51062,0.0,0.0
10044-39997,23.55159,113.56738
10315-29720,0.0,0.0
10044-39995,23.56125,113.56729
10044-39994,23.55834,113.56639
9481-11221,23.101572,113.248142
10044-39991,23.54334,113.57972
9481-11222,23.101572,113.248142
9464-18364,23.319677,113.555442
9464-18365,0.0,0.0
9464-18366,23.320174,113.550599
9464-18367,0.0,0.0
42265-6473,23.13396,113.27384
10324-32711,23.54445,113.59195
42259-50543,0.0,0.0
10324-32712,23.54445,113.59195
9459-41891,23.14636,113.33015
42260-6353,23.20906,113.3321
42260-6352,23.20906,113.3321
42260-6351,23.20906,113.3321
42260-6208,23.25018,113.34603
10035-47764,23.227387,113.270369
10323-48782,0.0,0.0
10323-48783,0.0,0.0
10035-47761,23.22884,113.271038
10035-47763,23.228071,113.271198
10035-47762,23.228536,113.272136
10034-14966,23.14589,113.37156
10034-14967,23.14589,113.37156
10034-14964,23.14589,113.37156
9477-11005,23.29287,113.21795
10034-14968,23.14589,113.37156
10034-14969,23.14589,113.37156
42289-28681,23.53459,113.59445
42289-28683,23.53459,113.59445
42289-28682,23.53459,113.59445
9746-25994,23.15954,113.22067
9746-25995,23.15954,113.22067
9746-25996,23.15954,113.22067
9439-31387,23.17192,113.25442
10021-51208,0.0,0.0
10034-46981,23.12315,113.39905
10034-46987,23.12376,113.40273
10034-46984,23.12149,113.40247
42266-8811,23.1736,113.22016
42266-8812,23.1736,113.22016
42266-8813,23.1736,113.22016
9500-52633,23.09331,113.27493
10027-25826,23.166206,113.631161
10027-25825,0.0,0.0
