,lat,long,roleID
10304-29178,23.258760000000002,113.23181000000001,5
42288-19982,23.29629,113.82338999999999,5
42288-19981,23.29629,113.82338999999999,5
42259-51031,0.0,0.0,0
10325-28896,23.16358,113.34546999999999,5
42259-51033,0.0,0.0,0
42259-51032,0.0,0.0,0
42267-24832,23.03815,113.41264,5
42267-24833,23.03815,113.41264,5
42267-24831,23.03815,113.41264,5
42288-18632,23.26185,113.77168,5
42288-18633,23.26185,113.77168,5
42288-18631,23.26185,113.77168,5
10312-9335,0.0,0.0,0
9459-18114,23.146710000000002,113.33075,5
42266-28231,23.092179,113.27970800000001,5
42266-28232,23.092179,113.27970800000001,5
10031-23549,22.773901000000002,113.5855,5
10031-23548,22.774454000000002,113.58254299999999,5
10307-52399,23.588632,113.242372,0
9470-13054,23.14559,113.31818,5
42289-29751,23.580623000000003,113.512973,4
42289-29752,23.580623000000003,113.512973,4
42289-29753,23.580623000000003,113.512973,4
10031-23547,22.779111,113.589942,5
42259-28943,0.0,0.0,0
42259-28942,0.0,0.0,0
42265-3701,0.0,0.0,0
42265-3702,0.0,0.0,0
42265-3703,0.0,0.0,0
42259-17666,23.15411,113.41055,5
9435-52094,23.211563,113.536626,5
9731-14958,23.211470000000002,113.27898,5
42266-36942,23.13237,113.262304,5
42259-17667,23.15411,113.41055,5
42266-35411,23.077742999999998,113.28055,5
42267-4933,22.9197,113.31696000000001,5
42266-12192,23.0792,113.27095,5
9449-24554,23.3691,113.294,5
9427-41367,0.0,0.0,0
42259-55641,0.0,0.0,0
42259-26473,0.0,0.0,0
42259-26472,0.0,0.0,0
42259-26471,0.0,0.0,0
9999-26254,23.165979999999998,113.30861999999999,5
9999-26255,23.165979999999998,113.30861999999999,5
9999-26256,23.165979999999998,113.30861999999999,5
9448-49983,23.27685,113.27941000000001,5
42265-7933,23.08693,113.33652,5
42265-7932,23.08693,113.33652,5
42265-7931,23.08693,113.33652,5
10026-59258,23.227555,113.35583700000001,5
42267-10053,23.0358,113.39466000000002,5
42267-10052,23.0358,113.39466000000002,5
42267-10051,23.0358,113.39466000000002,5
9509-10832,23.11818,113.39196000000001,5
9509-10833,23.11818,113.39196000000001,5
9509-10831,23.11818,113.39196000000001,5
42259-49451,23.184497,113.40676599999999,5
42260-7606,23.21321,113.25417,5
42260-7607,23.21321,113.25417,5
42260-7602,0.0,0.0,0
42260-7603,0.0,0.0,0
9442-59303,0.0,0.0,0
42260-7601,0.0,0.0,0
42266-14941,23.1162,113.241,5
42266-14942,23.1162,113.241,5
42266-14943,23.1162,113.241,5
42260-7608,23.21321,113.25417,5
42289-9656,23.51239,113.6515,4
42289-9657,23.51239,113.6515,4
42266-13992,23.16445,113.23612,5
42266-13993,23.16445,113.23612,5
42266-13991,23.16445,113.23612,5
9480-57454,23.09993,113.3533,5
10015-41271,23.11328,113.52362,5
42263-64281,22.80036,113.56272,5
42260-10983,23.1967,113.25825,5
42263-64283,22.80036,113.56272,5
42263-64282,22.80036,113.56272,5
42259-16638,0.0,0.0,0
10316-25906,23.13111,113.25611,5
10316-25905,23.13111,113.25611,5
10316-25904,23.13111,113.25611,5
9746-56727,23.172060000000002,113.21611000000001,5
9746-56729,23.172060000000002,113.21611000000001,5
9746-56728,23.172060000000002,113.21611000000001,5
42260-13952,23.27889,113.24556000000001,5
10318-27997,23.19166,113.2264,5
10011-17681,22.822675,113.333408,5
9508-44514,23.123058,113.268418,5
9506-2318,23.807479999999998,113.90756,0
9506-2319,23.807479999999998,113.90756,0
9467-16718,23.127688,113.228654,5
10009-41634,23.092837,113.271273,5
42261-11592,23.46722,113.1542,5
42259-16637,0.0,0.0,0
10332-36112,22.879715,113.44663200000001,5
10332-36113,22.8861,113.45266200000002,5
10332-36111,22.884204,113.456822,5
9447-56551,23.001589000000003,113.344652,5
10004-52624,23.191532000000002,113.324329,5
9484-34424,23.111364000000002,113.27884099999999,5
9447-56554,23.000619,113.34201200000001,5
9447-56557,23.001002,113.343276,5
9445-20085,23.013545,113.32719499999999,5
9445-20084,23.015239,113.32628999999999,5
10303-32344,23.462107999999997,113.15899099999999,5
9442-15794,23.064179,113.405125,5
10037-32305,23.349449,113.10458200000001,5
10037-32304,23.368507,113.096154,3
10037-32306,23.355926,113.08526499999999,3
42260-39951,23.203417,113.25011,5
42260-39952,23.203417,113.25011,5
10307-12153,23.507644,113.257902,5
9493-57095,23.12003,113.3931,5
9493-57094,23.12003,113.3931,5
9493-57096,23.12003,113.3931,5
42267-19594,23.05002,113.3998,5
9425-49347,23.19451,113.40188,5
10006-23673,23.41088,113.22539099999999,5
10015-35979,23.12463,113.54638999999999,5
42266-20597,23.06145,113.29619,5
10018-57015,23.385532,113.200356,5
10015-35978,23.12463,113.54638999999999,5
9425-49349,23.19451,113.40188,5
9425-49348,23.19451,113.40188,5
10318-21767,23.19956,113.21208999999999,5
10318-14382,23.1822,113.22063999999999,5
10318-14381,23.1822,113.22063999999999,5
