,education,entertainment,transportation,work
app_market,525988311,891559865,442277883,636062215
email,115674063,247606346,55356596,176839334
game,85563844,143983757,76692709,100990289
instant_messager,3441140499,5283787999,1950535613,4551134610
map,112693614,286439889,146567937,167118415
music,310688866,448862682,148205332,1362658011
p2p,3421549734,4623946342,1557521080,5327827080
reading,53797985,81655213,32422336,115977726
shopping,188082813,302636330,97115024,234780186
social_networks,2481421436,3644692283,1176341670,2910740783
stock,28268388,51759969,18011588,38968862
video,602944501,1036765743,509741592,681529767
web_browsing,19275388170,30596593541,10797726351,24151152497
